arrivalFloor arrivalTime partySize destinationFloor clientID
6 8436 1 1 328
0 8480 1 7 338
7 8510 1 5 331
0 8535 1 2 340
2 8579 1 3 329
0 8596 1 2 342
5 8623 1 0 336
3 8630 1 0 333
4 8663 1 7 334
6 8665 1 4 339
0 8669 1 1 344
0 8728 1 7 349
7 8741 1 2 341
0 8791 1 1 350
0 8841 1 3 352
5 8895 1 6 345
0 8904 1 6 353
6 8920 1 5 348
1 8925 1 7 337
2 8956 1 0 343
0 8968 1 6 355
3 8984 1 1 346
7 8986 1 6 351
0 9027 1 1 359
4 9031 1 0 347
0 9086 1 2 362
5 9140 1 1 354
0 9141 1 2 364
6 9163 1 1 356
0 9213 1 7 366
7 9240 1 1 361
0 9269 1 3 368
0 9323 1 1 370
2 9329 1 0 358
3 9349 1 1 360
4 9354 1 7 363
0 9387 1 5 371
5 9395 1 4 365
6 9395 1 4 367
1 9437 1 3 357
0 9453 1 1 375
7 9493 1 0 369
0 9508 1 1 379
0 9573 1 2 381
5 9622 1 6 376
6 9626 1 5 377
0 9630 1 5 382
0 9682 1 1 385
2 9696 1 1 372
3 9700 1 7 373
4 9724 1 1 374
7 9729 1 1 380
0 9752 1 1 386
0 9803 1 3 391
6 9853 1 3 384
0 9867 1 3 392
5 9885 1 7 383
0 9933 1 1 394
1 9946 1 2 378
7 9989 1 2 390
0 9995 1 5 396
2 10051 1 5 387
0 10052 1 6 399
6 10064 1 4 393
3 10066 1 1 388
0 10104 1 2 401
4 10110 1 6 389
5 10140 1 2 395
0 10166 1 1 404
0 10227 1 4 407
7 10237 1 2 398
0 10286 1 7 408
6 10302 1 7 402
0 10344 1 1 410
5 10368 1 6 406
3 10407 1 5 403
2 10413 1 4 400
0 10416 1 7 412
0 10460 1 2 416
7 10465 1 4 409
1 10468 1 3 397
4 10496 1 7 405
0 10522 1 4 417
6 10527 1 4 411
0 10580 1 7 421
5 10631 1 1 413
0 10642 1 5 423
0 10683 1 3 425
7 10708 1 0 418
0 10727 1 4 426
6 10752 1 7 422
2 10781 1 6 415
3 10786 1 6 414
0 10787 1 6 428
0 10850 1 4 432
4 10868 1 7 420
