arrivalFloor arrivalTime partySize destinationFloor clientID
111 1795 1 58 733
152 1798 1 154 980
137 1798 1 41 913
145 1799 1 151 927
27 1799 1 120 759
160 1800 1 130 839
106 1801 1 148 818
26 1801 1 69 815
42 1801 1 129 827
36 1803 1 80 928
142 1804 1 13 825
122 1804 1 33 858
55 1806 1 117 770
82 1806 1 160 841
7 1806 1 134 746
77 1807 1 63 822
62 1807 1 80 847
38 1808 1 95 860
113 1808 1 3 911
40 1808 1 65 983
14 1809 1 0 854
102 1810 1 2 811
31 1811 1 123 765
12 1811 1 130 981
0 1812 1 120 973
121 1813 1 140 920
120 1813 1 82 972
74 1813 1 116 846
32 1814 1 22 975
16 1815 1 158 985
48 1820 1 7 988
24 1822 1 71 979
126 1822 1 75 844
149 1826 1 60 949
141 1826 1 105 938
155 1826 1 76 840
146 1827 1 133 857
151 1827 1 31 745
45 1828 1 71 948
115 1828 1 162 849
4 1829 1 134 984
97 1829 1 68 950
125 1829 1 112 940
71 1832 1 84 734
89 1832 1 52 945
5 1833 1 158 932
67 1834 1 6 738
78 1835 1 90 851
159 1837 1 129 843
107 1839 1 143 776
75 1840 1 79 845
94 1840 1 137 850
84 1842 1 18 982
124 1843 1 19 993
130 1844 1 37 852
21 1844 1 82 937
157 1845 1 63 859
20 1845 1 57 987
9 1846 1 25 941
10 1847 1 46 867
96 1848 1 22 992
51 1848 1 152 869
143 1849 1 94 866
30 1850 1 17 876
68 1853 1 69 997
11 1855 1 48 885
158 1858 1 78 861
110 1860 1 116 837
8 1860 1 66 994
80 1861 1 62 991
6 1862 1 61 881
70 1862 1 53 870
131 1862 1 81 887
91 1863 1 47 873
23 1871 1 1 865
139 1874 1 155 769
37 1877 1 127 871
153 1877 1 0 942
114 1878 1 15 880
25 1878 1 136 958
104 1879 1 43 996
150 1879 1 60 877
29 1884 1 98 955
28 1890 1 104 1022
112 1892 1 15 1057
144 1895 1 38 1038
88 1896 1 23 1031
108 1896 1 89 1021
72 1901 1 117 1008
147 1904 1 60 790
148 1906 1 109 1009
100 1909 1 25 1025
140 1912 1 53 1045
56 1919 1 143 1035
92 1923 1 75 1012
128 1925 1 106 1028
52 1933 1 27 1064
136 1935 1 9 1052
64 1936 1 151 1050
60 1941 1 7 1066
44 1942 1 144 1069
152 1942 1 102 1075
40 1949 1 26 1093
0 1950 1 154 1098
132 1951 1 158 1061
16 1954 1 157 1103
12 1961 1 85 1097
32 1968 1 107 1102
124 1979 1 79 1127
84 1980 1 97 1126
48 1980 1 45 1104
24 1980 1 57 1105
4 1981 1 70 1114
20 1984 1 156 1131
96 1988 1 148 1134
120 1990 1 27 1100
80 1996 1 151 1143
49 1997 1 97 990
8 1998 1 39 1142
68 2002 1 115 1138
17 2019 1 29 1003
81 2023 1 55 1001
109 2024 1 134 1032
65 2024 1 143 1013
112 2029 1 82 1158
104 2031 1 113 1154
28 2032 1 104 1157
101 2044 1 45 1004
108 2045 1 141 1161
88 2046 1 89 1160
72 2049 1 148 1162
100 2050 1 69 1165
61 2051 1 153 1023
156 2052 1 162 1011
133 2053 1 35 1020
144 2053 1 21 1159
73 2056 1 110 1030
116 2057 1 81 1047
92 2057 1 114 1168
33 2060 1 32 1041
76 2060 1 58 1060
13 2064 1 126 1072
41 2065 1 154 1015
64 2069 1 118 1172
1 2073 1 7 1024
148 2074 1 117 1164
93 2080 1 78 1017
56 2082 1 9 1167
57 2083 1 66 1049
128 2084 1 151 1169
140 2084 1 136 1166
44 2087 1 121 1174
136 2088 1 68 1171
113 2091 1 89 1092
149 2094 1 2 1107
60 2097 1 102 1173
53 2097 1 97 1065
121 2098 1 50 1099
52 2100 1 133 1170
145 2100 1 135 1077
32 2101 1 131 1181
137 2102 1 23 1076
69 2103 1 57 1055
0 2104 1 119 1177
141 2105 1 143 1108
84 2107 1 96 1183
12 2108 1 40 1180
36 2109 1 65 1083
105 2110 1 66 1056
85 2111 1 10 1073
152 2112 1 158 1175
132 2113 1 148 1178
129 2116 1 158 1067
40 2117 1 46 1176
16 2117 1 110 1179
20 2117 1 5 1187
24 2122 1 127 1185
103 2123 1 87 989
4 2124 1 38 1186
45 2128 1 141 1112
124 2131 1 101 1182
5 2133 1 2 1119
48 2133 1 134 1184
120 2133 1 51 1189
96 2134 1 118 1188
21 2134 1 14 1129
125 2138 1 112 1116
80 2142 1 25 1190
138 2152 1 158 1006
35 2154 1 106 995
89 2155 1 23 1118
25 2159 1 111 1153
86 2164 1 136 998
68 2168 1 116 1193
8 2168 1 106 1192
39 2170 1 132 1027
118 2170 1 19 999
97 2176 1 154 1115
153 2177 1 20 1151
9 2179 1 155 1132
28 2179 1 141 1200
104 2181 1 85 1199
162 2182 1 115 1018
79 2183 1 41 1000
154 2186 1 30 1016
72 2192 1 134 1204
58 2193 1 154 1014
112 2194 1 16 1198
108 2196 1 51 1202
144 2200 1 86 1209
117 2201 1 140 1026
119 2202 1 17 1048
63 2203 1 105 1029
92 2204 1 73 1212
34 2206 1 59 1005
134 2207 1 76 1054
50 2210 1 125 1037
100 2210 1 98 1205
88 2212 1 71 1203
22 2215 1 12 1019
90 2217 1 140 1002
128 2218 1 49 1223
52 2218 1 93 1232
66 2219 1 78 1070
98 2223 1 68 1063
56 2225 1 45 1221
64 2226 1 26 1217
54 2227 1 45 1036
12 2227 1 84 1240
18 2230 1 4 1058
140 2231 1 12 1224
136 2234 1 155 1226
44 2235 1 7 1225
60 2236 1 44 1229
14 2236 1 39 1094
29 2238 1 102 1156
148 2240 1 156 1219
161 2241 1 113 1068
46 2247 1 78 1040
24 2248 1 18 1250
155 2250 1 58 1109
142 2252 1 103 1084
38 2252 1 152 1091
62 2253 1 2 1090
152 2253 1 148 1244
75 2253 1 148 1124
146 2254 1 90 1110
84 2256 1 56 1239
26 2257 1 77 1081
32 2259 1 161 1234
126 2261 1 109 1106
115 2263 1 147 1113
0 2265 1 18 1237
20 2266 1 13 1249
2 2267 1 106 1071
4 2274 1 153 1252
16 2275 1 100 1248
94 2276 1 72 1125
82 2276 1 150 1087
78 2278 1 73 1121
132 2278 1 86 1245
102 2279 1 101 1095
122 2279 1 7 1085
77 2280 1 10 1089
48 2283 1 100 1256
106 2283 1 63 1080
40 2285 1 5 1247
42 2287 1 3 1082
124 2288 1 49 1254
23 2289 1 133 1148
160 2291 1 18 1079
30 2291 1 93 1137
10 2293 1 152 1133
65 2293 1 58 1197
8 2293 1 156 1268
96 2294 1 16 1258
114 2296 1 33 1152
74 2298 1 20 1101
120 2301 1 48 1257
11 2302 1 121 1139
159 2303 1 109 1122
143 2304 1 162 1136
158 2307 1 28 1140
91 2310 1 96 1147
150 2310 1 26 1155
6 2311 1 23 1144
80 2311 1 78 1261
51 2311 1 25 1135
131 2311 1 6 1146
157 2313 1 89 1130
49 2314 1 36 1191
81 2316 1 35 1195
17 2324 1 95 1194
68 2325 1 116 1267
72 2326 1 149 1279
101 2328 1 132 1201
28 2330 1 133 1274
109 2331 1 29 1196
130 2333 1 91 1128
70 2334 1 149 1145
104 2337 1 54 1275
76 2337 1 118 1214
92 2338 1 68 1287
123 2340 1 112 1010
110 2344 1 115 1141
15 2346 1 150 1007
100 2348 1 32 1291
73 2349 1 68 1210
144 2350 1 152 1283
57 2352 1 74 1222
19 2354 1 157 1046
108 2354 1 118 1282
87 2354 1 101 1062
37 2354 1 89 1150
156 2355 1 5 1207
135 2358 1 90 1042
13 2358 1 145 1215
128 2359 1 24 1295
133 2360 1 79 1208
112 2360 1 138 1281
88 2362 1 6 1292
136 2362 1 143 1305
41 2364 1 141 1216
95 2365 1 53 1051
127 2369 1 16 1053
113 2369 1 0 1227
33 2370 1 89 1213
44 2371 1 70 1306
93 2372 1 43 1220
27 2373 1 10 1078
59 2373 1 82 1033
52 2375 1 117 1296
24 2377 1 2 1313
148 2383 1 57 1310
56 2384 1 76 1299
31 2384 1 129 1096
99 2385 1 49 1043
61 2385 1 40 1206
12 2385 1 50 1302
105 2386 1 155 1242
137 2386 1 123 1235
3 2386 1 123 1039
64 2386 1 81 1300
84 2387 1 136 1321
111 2387 1 25 1074
20 2387 1 77 1327
121 2393 1 44 1231
116 2394 1 48 1211
47 2398 1 8 1034
140 2398 1 152 1304
60 2400 1 25 1307
83 2401 1 112 1044
32 2402 1 19 1323
1 2404 1 29 1218
152 2406 1 3 1318
145 2407 1 62 1233
141 2407 1 78 1238
149 2407 1 105 1228
43 2407 1 45 1059
45 2412 1 44 1253
69 2414 1 15 1236
40 2414 1 121 1340
85 2414 1 107 1243
0 2417 1 55 1326
129 2418 1 69 1246
55 2421 1 22 1086
67 2423 1 157 1120
36 2423 1 115 1241
4 2425 1 52 1329
16 2426 1 149 1330
151 2430 1 148 1111
