arrivalFloor arrivalTime partySize destinationFloor clientID
10 9927 1 8 718
6 9949 1 5 709
8 9962 1 10 720
9 9965 1 3 722
0 9968 1 7 724
7 9972 1 10 710
10 10001 1 6 725
0 10024 1 7 729
9 10029 1 7 728
4 10039 1 2 707
8 10052 1 0 727
10 10076 1 2 731
0 10081 1 5 732
5 10101 1 7 723
9 10128 1 0 733
0 10140 1 2 737
8 10143 1 6 735
10 10159 1 5 736
3 10163 1 8 716
6 10176 1 1 726
7 10197 1 0 730
2 10198 1 10 717
0 10201 1 5 740
9 10220 1 3 739
8 10236 1 1 741
10 10244 1 5 742
0 10251 1 4 747
9 10305 1 0 748
0 10311 1 9 751
8 10324 1 0 749
5 10324 1 7 738
10 10347 1 8 750
1 10375 1 10 721
0 10383 1 6 753
9 10386 1 0 752
6 10398 1 3 744
4 10407 1 7 734
8 10424 1 10 754
0 10440 1 7 758
10 10448 1 1 756
7 10453 1 9 745
9 10467 1 5 759
0 10502 1 9 763
3 10518 1 7 743
8 10532 1 6 762
10 10544 1 7 764
2 10545 1 8 746
9 10558 1 3 766
0 10561 1 4 767
5 10565 1 6 755
8 10619 1 6 769
0 10622 1 9 773
10 10632 1 1 770
9 10638 1 7 772
6 10668 1 0 760
0 10684 1 7 776
7 10705 1 2 765
8 10713 1 2 775
10 10714 1 8 777
9 10728 1 0 778
0 10730 1 5 780
4 10790 1 9 761
0 10793 1 2 785
10 10796 1 6 783
8 10811 1 1 782
9 10811 1 1 784
5 10824 1 8 774
0 10838 1 1 787
3 10871 1 2 768
10 10873 1 2 788
1 10883 1 4 757
0 10894 1 8 792
9 10897 1 0 790
2 10897 1 5 771
8 10903 1 4 789
7 10941 1 6 781
6 10945 1 5 779
0 10954 1 9 796
10 10957 1 3 794
9 10989 1 2 797
8 11000 1 2 799
0 11010 1 2 802
10 11053 1 9 803
5 11060 1 10 791
0 11073 1 7 806
9 11089 1 0 804
8 11097 1 4 805
0 11138 1 5 809
4 11139 1 0 786
10 11143 1 5 807
7 11168 1 0 800
6 11182 1 7 801
8 11187 1 3 811
9 11191 1 3 810
0 11205 1 3 812
3 11206 1 0 793
10 11230 1 6 814
2 11261 1 1 798
0 11266 1 6 819
8 11282 1 2 817
5 11284 1 0 808
9 11296 1 4 818
10 11316 1 0 821
0 11326 1 6 823
8 11373 1 3 824
9 11387 1 3 826
7 11396 1 6 815
0 11396 1 3 828
6 11412 1 4 816
10 11420 1 5 827
1 11421 1 2 795
0 11464 1 4 832
8 11469 1 2 829
4 11477 1 6 813
9 11479 1 4 830
10 11507 1 5 834
0 11526 1 1 836
3 11548 1 4 820
5 11550 1 2 825
8 11552 1 1 837
9 11560 1 1 839
0 11575 1 9 841
2 11595 1 0 822
10 11604 1 5 840
0 11624 1 8 846
8 11642 1 7 844
7 11644 1 10 831
9 11651 1 0 845
6 11660 1 8 833
0 11683 1 8 849
10 11689 1 8 848
8 11725 1 10 850
0 11738 1 1 854
9 11753 1 1 852
5 11770 1 3 843
10 11787 1 6 855
0 11789 1 8 857
8 11805 1 1 856
4 11825 1 9 838
9 11835 1 7 858
0 11845 1 5 861
10 11868 1 5 860
7 11870 1 3 851
8 11900 1 9 862
0 11903 1 5 865
3 11908 1 4 842
9 11933 1 8 864
6 11933 1 3 853
1 11936 1 0 835
10 11944 1 8 866
2 11952 1 10 847
0 11972 1 2 869
8 11987 1 0 868
5 12000 1 9 859
9 12014 1 6 871
10 12037 1 8 874
0 12041 1 9 876
8 12071 1 1 877
7 12086 1 6 867
0 12104 1 9 881
9 12108 1 4 879
10 12147 1 0 880
6 12153 1 7 872
8 12168 1 4 882
0 12171 1 2 884
9 12192 1 5 885
4 12209 1 0 863
5 12221 1 3 878
10 12247 1 1 886
0 12254 1 3 889
8 12260 1 4 888
2 12280 1 10 875
9 12285 1 0 890
3 12298 1 2 870
0 12316 1 3 894
7 12321 1 3 883
10 12327 1 2 893
8 12360 1 6 895
9 12368 1 6 897
6 12375 1 5 887
0 12388 1 7 899
10 12408 1 7 901
8 12436 1 5 902
0 12450 1 5 905
9 12455 1 2 903
5 12476 1 3 892
10 12492 1 2 906
1 12492 1 6 873
8 12514 1 10 907
0 12515 1 5 908
9 12535 1 8 909
0 12558 1 3 914
4 12596 1 10 891
7 12597 1 0 900
8 12597 1 9 913
0 12602 1 4 916
10 12604 1 7 911
6 12607 1 5 904
9 12620 1 1 915
2 12631 1 9 896
0 12659 1 9 920
3 12678 1 8 898
8 12689 1 9 919
10 12697 1 8 921
9 12710 1 5 923
5 12713 1 0 910
0 12731 1 6 925
8 12776 1 7 927
10 12783 1 9 928
0 12796 1 9 931
9 12807 1 4 929
6 12824 1 2 922
7 12832 1 4 918
8 12853 1 2 932
10 12864 1 5 933
0 12866 1 10 934
9 12898 1 2 935
0 12915 1 1 940
8 12945 1 3 938
10 12946 1 5 939
4 12949 1 0 917
5 12963 1 6 930
0 12967 1 5 942
9 12970 1 7 941
2 12987 1 0 924
0 13011 1 2 947
1 13013 1 10 912
3 13039 1 6 926
10 13045 1 2 944
8 13056 1 4 943
6 13063 1 5 936
0 13066 1 10 950
7 13077 1 10 937
9 13077 1 1 948
10 13123 1 9 953
8 13147 1 10 954
0 13149 1 6 956
9 13165 1 3 958
5 13182 1 10 946
0 13217 1 2 961
10 13227 1 5 959
8 13234 1 2 960
9 13270 1 1 962
0 13284 1 9 964
10 13313 1 9 965
6 13315 1 2 955
8 13325 1 4 966
7 13325 1 10 957
4 13330 1 5 945
0 13351 1 8 968
2 13356 1 9 949
9 13361 1 5 967
10 13387 1 7 969
3 13402 1 7 952
0 13409 1 8 974
8 13419 1 5 971
5 13439 1 7 963
9 13442 1 2 976
0 13459 1 5 979
10 13497 1 2 977
8 13509 1 2 980
0 13513 1 4 983
9 13521 1 3 982
1 13531 1 3 951
6 13541 1 8 970
0 13554 1 1 986
7 13564 1 3 972
10 13587 1 8 984
8 13599 1 10 985
0 13602 1 3 990
9 13602 1 6 987
0 13663 1 3 994
10 13668 1 4 992
5 13672 1 3 981
4 13682 1 3 973
9 13703 1 7 995
8 13703 1 1 993
0 13722 1 9 996
2 13734 1 4 975
10 13748 1 3 997
3 13753 1 7 978
0 13771 1 4 1002
8 13783 1 10 1001
7 13792 1 1 991
6 13803 1 10 989
9 13807 1 10 1000
10 13835 1 4 1004
0 13837 1 3 1006
8 13862 1 1 1007
0 13890 1 6 1012
9 13891 1 5 1010
5 13915 1 4 998
10 13928 1 0 1011
8 13953 1 7 1013
0 13960 1 6 1014
9 13990 1 1 1015
10 14011 1 0 1017
7 14020 1 1 1008
0 14036 1 9 1019
8 14036 1 7 1018
4 14056 1 10 999
1 14058 1 8 988
6 14060 1 1 1009
9 14078 1 3 1020
3 14092 1 7 1005
2 14095 1 10 1003
0 14102 1 3 1023
10 14111 1 6 1021
8 14132 1 9 1024
5 14137 1 8 1016
0 14161 1 5 1031
9 14165 1 6 1028
10 14203 1 9 1032
0 14218 1 1 1035
8 14239 1 7 1033
9 14260 1 8 1036
7 14265 1 2 1022
0 14291 1 10 1038
10 14311 1 5 1037
6 14312 1 10 1027
8 14330 1 3 1039
0 14345 1 3 1042
9 14354 1 6 1040
5 14389 1 9 1034
10 14396 1 6 1043
4 14398 1 6 1025
0 14404 1 9 1046
8 14415 1 4 1045
0 14449 1 10 1051
9 14449 1 3 1047
3 14461 1 7 1029
2 14474 1 10 1030
10 14477 1 2 1049
8 14499 1 0 1052
0 14519 1 2 1053
9 14526 1 6 1054
7 14541 1 3 1041
6 14570 1 1 1044
10 14573 1 6 1057
8 14579 1 5 1058
0 14590 1 10 1059
1 14596 1 0 1026
9 14601 1 4 1060
5 14612 1 0 1048
0 14650 1 7 1065
8 14663 1 7 1064
10 14664 1 2 1063
9 14672 1 1 1067
0 14703 1 9 1069
8 14748 1 7 1070
0 14757 1 10 1073
9 14762 1 10 1072
10 14767 1 0 1071
4 14774 1 0 1050
6 14811 1 5 1062
7 14812 1 0 1061
0 14819 1 8 1075
2 14824 1 3 1056
8 14828 1 7 1074
3 14831 1 2 1055
9 14845 1 8 1076
10 14862 1 6 1077
5 14868 1 2 1068
0 14876 1 10 1081
8 14922 1 5 1083
0 14928 1 8 1088
9 14945 1 2 1085
10 14955 1 5 1086
0 14988 1 7 1090
8 15025 1 5 1089
0 15047 1 9 1093
6 15049 1 8 1079
10 15049 1 7 1092
9 15051 1 5 1091
7 15079 1 6 1080
5 15101 1 0 1087
4 15107 1 2 1078
0 15120 1 6 1095
1 15120 1 8 1066
8 15129 1 6 1094
9 15141 1 4 1098
10 15150 1 3 1097
0 15173 1 9 1102
2 15174 1 3 1082
3 15189 1 0 1084
0 15227 1 4 1107
8 15232 1 10 1104
9 15233 1 8 1105
10 15252 1 2 1106
0 15279 1 8 1110
7 15297 1 5 1099
6 15306 1 3 1096
9 15323 1 8 1112
5 15326 1 6 1100
8 15328 1 1 1111
10 15336 1 9 1113
0 15348 1 4 1114
0 15407 1 9 1121
8 15411 1 5 1119
10 15411 1 9 1120
9 15424 1 10 1117
4 15450 1 3 1101
0 15468 1 10 1122
8 15490 1 4 1123
10 15504 1 2 1124
9 15523 1 6 1125
0 15526 1 1 1127
2 15530 1 6 1108
7 15531 1 1 1115
6 15537 1 10 1116
5 15545 1 6 1118
3 15548 1 2 1109
0 15577 1 10 1131
8 15587 1 1 1128
9 15598 1 6 1130
10 15604 1 8 1129
0 15648 1 5 1137
1 15652 1 10 1103
8 15665 1 2 1138
9 15696 1 10 1139
10 15704 1 1 1140
0 15716 1 7 1141
8 15762 1 7 1143
6 15764 1 10 1134
7 15776 1 6 1133
0 15776 1 9 1146
10 15790 1 8 1145
5 15798 1 7 1135
4 15802 1 8 1126
9 15803 1 1 1144
0 15842 1 5 1150
10 15865 1 6 1151
2 15872 1 7 1132
8 15872 1 7 1147
9 15897 1 6 1154
0 15903 1 4 1155
3 15927 1 5 1136
10 15952 1 5 1156
0 15961 1 10 1160
8 15990 1 6 1158
9 15998 1 4 1159
7 16002 1 9 1149
0 16011 1 5 1163
6 16016 1 2 1148
10 16034 1 9 1162
5 16053 1 3 1152
0 16070 1 5 1167
8 16077 1 2 1164
9 16095 1 8 1165
1 16105 1 4 1142
0 16126 1 10 1171
10 16128 1 2 1169
8 16151 1 3 1172
4 16162 1 5 1153
9 16192 1 5 1173
0 16194 1 3 1175
10 16206 1 7 1176
7 16210 1 4 1166
2 16231 1 5 1157
8 16239 1 4 1177
6 16254 1 1 1168
0 16261 1 2 1180
5 16281 1 3 1170
9 16282 1 0 1179
3 16286 1 8 1161
10 16317 1 8 1181
0 16319 1 1 1186
8 16337 1 3 1184
0 16373 1 2 1191
9 16378 1 5 1188
10 16404 1 8 1190
0 16425 1 9 1193
8 16431 1 4 1192
7 16437 1 6 1182
9 16454 1 0 1194
0 16481 1 6 1196
10 16487 1 3 1195
6 16493 1 2 1185
5 16517 1 6 1187
8 16517 1 3 1197
0 16540 1 5 1200
9 16547 1 4 1199
4 16556 1 6 1178
10 16572 1 2 1201
2 16589 1 3 1183
0 16603 1 1 1205
1 16610 1 7 1174
8 16621 1 5 1204
9 16636 1 5 1206
7 16658 1 5 1198
3 16661 1 10 1189
0 16663 1 5 1210
10 16670 1 7 1208
8 16706 1 6 1212
0 16722 1 3 1216
9 16732 1 1 1213
6 16739 1 5 1202
10 16762 1 9 1217
5 16765 1 9 1203
0 16779 1 4 1219
8 16792 1 5 1218
9 16828 1 8 1220
0 16843 1 3 1224
4 16844 1 10 1207
10 16864 1 3 1222
8 16881 1 2 1225
0 16900 1 6 1227
7 16909 1 0 1214
9 16919 1 6 1226
2 16956 1 6 1209
10 16958 1 3 1229
8 16964 1 2 1230
0 16967 1 5 1231
6 16978 1 2 1221
5 17002 1 1 1223
9 17013 1 7 1233
0 17025 1 6 1237
3 17035 1 1 1215
10 17036 1 2 1235
8 17053 1 6 1236
0 17083 1 9 1241
1 17095 1 0 1211
9 17102 1 10 1240
10 17122 1 1 1243
8 17142 1 4 1244
0 17156 1 5 1245
7 17174 1 8 1232
9 17186 1 4 1247
4 17204 1 3 1228
10 17209 1 3 1248
0 17218 1 4 1250
8 17222 1 0 1249
6 17232 1 2 1238
